user_id,high_score,quiz_id
222,6.83,241
222,51.00,244
222,10.00,247
222,5.00,251
222,8.95,257
222,6.00,259
222,10.00,262
222,9.00,263
222,70.14,274
222,5.00,278
222,5.00,280
222,6.00,287
222,9.00,289
222,21.00,290
222,6.00,299
222,10.00,301
222,42.00,319
226,13.00,191
226,10.00,193
226,16.00,196
226,16.00,200
226,9.00,201
226,11.00,203
226,15.00,205
226,10.00,209
226,10.00,210
226,10.00,212
226,10.00,214
226,15.00,216
226,19.50,218
226,9.29,224
226,13.00,226
226,10.00,229
226,9.63,232
226,3.85,234
226,0.00,236
226,10.00,238
226,9.05,241
226,40.00,244
226,10.00,247
226,8.00,251
226,6.79,257
226,8.80,259
226,14.00,262
226,8.00,263
226,62.17,274
226,5.00,278
226,7.00,280
226,11.00,285
226,7.00,287
226,9.00,289
226,25.00,290
226,27.00,319
227,13.00,191
227,10.00,193
227,16.00,196
227,16.00,200
227,9.00,201
227,10.00,203
227,11.00,205
227,8.50,209
227,10.00,210
227,9.31,212
227,10.00,214
227,18.00,216
227,17.00,218
227,10.00,222
227,9.29,224
227,13.00,226
227,5.56,228
227,10.00,229
227,6.92,235
227,3.00,236
227,1.00,238
227,10.00,241
227,52.00,244
227,10.00,247
227,0.00,249
227,10.00,251
227,9.86,258
227,8.00,260
227,15.00,262
227,10.00,263
227,0.00,271
227,79.90,274
227,5.00,278
227,7.00,280
227,12.00,285
227,8.00,287
227,35.00,291
227,9.00,295
227,7.00,299
227,9.00,301
227,42.00,318
231,13.00,191
231,8.00,193
231,11.00,196
231,11.00,200
231,8.00,201
231,9.00,203
231,9.00,205
231,6.00,209
231,5.17,212
231,2.35,214
231,13.00,216
231,13.00,218
231,0.00,222
231,6.52,224
231,3.00,226
231,-0.59,228
231,4.09,229
231,5.27,235
231,3.00,236
231,1.00,238
231,5.00,241
231,35.00,244
231,4.14,258
231,8.50,260
231,12.00,262
231,4.00,263
231,51.46,274
231,5.00,278
231,0.00,285
231,8.00,287
