user,Practice_introduction,Practice_conceptualDesign,Practice_logicalDesign,read_introduction,read_er,read_eer,read_logical
289,100,52,92,84,40,0,12
291,0,22,32,84,100,88,100
292,78,34,55,0,20,88,87
293,93,48,100,15,0,0,0
295,50,38,98,92,80,77,87
296,100,61,100,0,0,0,0
297,100,61,100,0,0,0,12
300,84,48,95,100,100,0,100
301,87,53,100,7,60,0,50
303,100,41,100,7,0,33,50
304,90,45,87,7,0,0,62
305,71,59,62,0,40,0,12
306,100,53,100,30,20,0,25
307,87,61,77,69,60,88,37
308,87,38,94,30,80,33,0
309,34,42,79,15,20,44,37
311,96,18,100,0,0,0,0
312,90,60,100,7,0,0,0
313,100,53,94,0,0,77,0
314,93,38,96,23,0,0,0
315,96,51,100,23,0,55,50
316,43,21,52,30,0,0,0
318,40,47,69,92,100,100,75
319,93,73,75,7,0,44,0
321,96,40,67,76,100,33,12
322,46,51,76,7,0,0,25
323,46,49,49,69,60,0,100
324,100,64,76,7,20,0,0
325,40,18,14,0,0,33,0
326,93,65,70,15,0,88,0
327,87,54,67,0,20,0,0
328,93,64,72,7,0,0,0
329,100,58,71,100,100,0,25
330,100,15,14,0,0,0,0
331,100,65,75,15,0,33,62
332,96,68,74,100,100,100,100
333,46,71,72,15,0,0,0
335,50,63,66,92,20,77,100
336,87,70,77,7,0,0,12
339,34,47,24,0,20,0,0
340,50,43,52,61,20,44,100
341,78,64,74,0,0,11,0
348,93,26,24,0,0,0,0
351,68,23,16,0,0,0,0
352,0,0,0,0,0,0,0
353,0,53,51,7,0,44,0
361,0,21,22,0,0,11,0
409,87,30,39,46,20,100,12
419,90,65,6,69,20,0,0
456,43,18,6,53,0,0,0
470,0,0,0,0,0,0,0
487,0,11,20,0,0,0,0
490,78,42,8,23,20,0,37
501,55,44,45,46,100,0,100
529,43,34,16,0,0,0,0
532,50,64,13,0,0,0,0
688,75,67,85,23,0,0,0
689,21,58,30,100,100,100,100
694,93,58,67,100,100,77,100
751,84,63,83,92,60,0,87
889,100,70,94,61,100,100,25
898,93,65,88,76,100,0,12
903,77,61,72,69,100,100,50
908,96,61,37,15,0,0,25
916,87,62,70,0,0,100,0
929,50,65,69,7,0,11,0
936,90,69,59,0,0,33,37
941,100,62,58,7,20,11,0
954,34,63,50,0,80,0,12
957,96,75,88,15,20,0,0
973,87,50,44,61,80,0,50
986,100,71,88,30,20,100,62
989,90,77,92,53,0,33,75
990,100,78,83,7,20,33,100
991,65,58,43,7,0,11,0
992,93,71,57,7,0,44,12
993,90,65,58,76,20,0,37
994,87,39,8,38,80,11,100
995,87,40,61,0,0,0,0
996,71,55,81,23,0,0,87
997,31,70,55,7,0,0,87
998,100,69,86,30,20,11,25
999,43,54,39,15,20,0,12
1000,0,32,36,69,20,0,0
1001,31,58,34,0,0,0,12
1004,87,39,70,23,0,0,37
1005,93,70,81,100,100,100,100
1006,100,43,49,0,0,0,0
1007,93,34,31,0,0,0,12
1008,100,73,77,46,60,33,50
1009,96,56,73,7,100,0,0
1010,0,11,47,15,20,33,50
1011,34,33,61,15,60,33,87
1012,96,49,48,76,20,33,62
1013,96,25,39,0,0,0,0
1015,100,61,84,0,0,0,12
1017,37,55,48,100,100,77,100
1018,84,70,81,46,40,88,0
1019,37,51,86,92,80,11,75
1020,100,45,57,0,0,0,0
1021,90,56,48,0,0,0,0
1022,100,46,80,0,80,0,25
1023,65,76,90,0,0,0,0
1024,100,59,88,0,0,0,0
1025,96,80,57,15,0,0,0
1026,100,83,92,0,20,0,0
1027,50,52,69,0,0,0,0
1028,84,62,55,46,0,22,100
1029,100,78,90,23,0,22,25
1030,100,74,62,38,0,88,0
1031,77,64,61,0,0,0,12
1032,74,44,53,23,80,100,12
1033,100,70,88,15,0,77,12
1034,84,27,46,69,20,0,50
1035,0,26,52,100,100,0,25
1036,100,51,72,0,0,0,0
1037,100,68,92,69,20,11,87
1038,40,43,8,23,60,0,25
1039,50,62,78,7,20,0,75
1040,37,0,0,7,0,0,0
1041,0,4,16,15,0,11,37
1042,100,72,82,30,0,88,100
1043,68,18,0,7,0,33,0
178,65,44,75,36,0,16,100
179,82,27,30,5,0,0,9
180,65,23,38,0,0,0,90
181,62,48,91,10,0,0,81
183,65,58,32,31,0,0,72
